obstacle_width,obstacle_height,dino_position_y,distanceFromNextObstacle,speed,label
34,300,108,197.43353311937665,26,Jump
8,300,109,204.12006270820123,26,Jump
-18,300,113,211.12318678913502,26,Jump
-44,300,120,218.577217477028,26,Jump
1100,290,130,1032.4727599312246,26,Jump
1074,290,144,1004.665118335458,26,Jump
1048,290,161,976.5577299883505,26,Jump
1022,290,181,948.2852946239333,26,Jump
996,290,204,920.0282604355151,26,Jump
970,290,230,892.0201791439474,26,Jump
944,290,260,864.5206764444677,26,Jump
918,290,293,838.0053699111958,26,Jump
892,290,310,812.2462680739136,26,Run
866,290,310,786.2544117523285,26,Run
840,290,310,760.2631123499285,26,Run
814,290,310,734.272429007109,26,Run
788,290,310,708.2824295434696,26,Run
762,290,310,682.293192110254,26,Run
736,290,310,656.3048072351748,26,Run
710,290,310,630.3173803727769,26,Run
684,290,310,604.3310351123795,26,Run
658,290,310,578.3459172502214,26,Run
632,290,310,552.362200010102,26,Run
606,290,310,526.3800908089135,26,Run
580,290,310,500.39984012787215,26,Run
554,290,310,474.42175329552504,26,Run
528,290,310,448.4462063614765,27,Run
501,290,310,421.4747916542578,27,Run
474,290,310,394.50728763864424,27,Run
447,290,310,367.5445551222328,27,Run
